mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,mcs_dl_3,mcs_ul_3,dl_kbps_3,ul_kbps_3,mcs_dl_4,mcs_ul_4,dl_kbps_4,ul_kbps_4,cpu_1,cpu_2,cpu_3,cpu_5,cpu_6,cpu_7
20,18,4776,8760,20,17,14112,10680,15,10,9912,296,5,0,872,968,0.54,0.46,0.4,0.37,0.3,0.29
25,20,5160,19848,19,17,13536,1800,24,20,9144,15264,24,20,16992,12960,0.58,0.55,0.54,0.4,0.34,0.35
3,0,392,288,5,0,504,808,19,17,12576,4008,22,19,20616,6712,0.49,0.41,0.39,0.32,0.27,0.27
4,0,904,1256,6,1,2408,1544,18,15,1608,12216,3,0,616,904,0.51,0.44,0.42,0.4,0.3,0.29
5,0,4264,152,13,7,5352,3496,11,6,4968,4584,8,2,680,144,0.47,0.41,0.36,0.3,0.25,0.26
3,0,744,872,26,20,30576,1544,15,11,3496,3880,8,4,6200,1736,0.43,0.43,0.4,0.39,0.28,0.28
15,10,6200,6200,15,12,11064,4008,8,4,6968,3496,19,17,14688,1544,0.47,0.46,0.44,0.42,0.3,0.3
18,14,5992,11064,10,4,4776,1128,15,12,13536,8760,26,20,5544,19080,0.58,0.56,0.52,0.4,0.34,0.35
7,2,1608,936,4,0,3112,1256,3,0,440,424,20,17,10680,11832,0.53,0.46,0.38,0.34,0.29,0.28
13,8,3880,256,19,17,7224,2152,3,0,328,376,13,7,9528,3240,0.41,0.36,0.33,0.31,0.24,0.23
24,20,15264,7480,4,0,2600,1000,13,8,7480,4776,2,0,1928,568,0.47,0.44,0.43,0.41,0.29,0.29
13,8,10680,3240,20,18,11448,1928,13,8,1800,4968,13,7,6968,2984,0.43,0.42,0.41,0.4,0.27,0.28
20,17,7224,8760,7,2,4008,1672,13,8,4584,1544,24,20,19080,1544,0.46,0.44,0.42,0.36,0.28,0.28
4,0,2984,680,7,2,5992,2216,6,1,1992,1800,18,14,3240,4136,0.47,0.44,0.42,0.38,0.28,0.29
7,2,4968,256,13,8,2024,1672,8,4,6456,1000,5,0,1480,680,0.4,0.4,0.36,0.34,0.25,0.25
8,2,2792,1928,20,17,18336,4584,11,6,6456,4136,13,7,2728,5736,0.46,0.45,0.44,0.44,0.3,0.3
7,2,712,1160,6,1,3112,1800,13,8,11064,4776,8,2,6712,840,0.47,0.47,0.42,0.4,0.29,0.29
8,4,5352,1192,13,7,3240,5544,24,20,4264,8248,10,4,2984,2792,0.45,0.43,0.43,0.4,0.28,0.29
13,8,7736,4392,24,20,2152,15840,20,18,3624,12216,7,2,1800,72,0.52,0.52,0.45,0.3,0.29,0.3
19,17,4392,1544,24,20,12576,4776,10,4,5544,1928,22,19,9912,1064,0.42,0.4,0.37,0.34,0.26,0.26
18,14,7480,12960,18,14,10296,2856,4,0,208,120,22,19,4584,8760,0.55,0.43,0.42,0.3,0.28,0.28
20,18,12576,15840,15,9,6456,5992,5,0,3880,680,26,20,19848,8248,0.59,0.51,0.45,0.42,0.33,0.33
18,15,7224,1736,18,15,3240,3112,20,18,14112,15840,8,4,536,3368,0.61,0.44,0.38,0.37,0.3,0.29
4,0,328,256,8,4,3752,2088,8,2,6968,1000,11,6,3880,4136,0.44,0.42,0.42,0.32,0.26,0.27
13,7,8760,2664,24,20,10680,5992,8,4,4968,2152,18,15,10680,840,0.43,0.42,0.41,0.38,0.27,0.27
24,20,4264,13536,7,2,4584,1384,25,20,19848,11448,22,19,7480,7224,0.54,0.49,0.44,0.43,0.32,0.32
15,10,1128,6968,24,20,26416,7224,7,2,1320,1672,8,2,5992,72,0.51,0.45,0.41,0.35,0.29,0.29
15,12,2856,6200,8,2,5992,1384,3,0,744,344,15,12,8504,2792,0.44,0.43,0.41,0.34,0.27,0.27
10,4,6968,1128,15,9,9912,4584,7,2,1096,872,18,15,5544,3752,0.44,0.4,0.39,0.37,0.27,0.27
15,11,1992,4584,20,18,15264,14688,18,14,6456,3368,8,4,4968,120,0.62,0.41,0.4,0.34,0.3,0.29
26,20,30576,12960,13,8,3624,5544,22,19,7992,2536,8,4,536,3624,0.6,0.44,0.43,0.39,0.31,0.31
2,0,1544,840,20,18,8760,9528,22,19,22920,9528,5,0,3112,488,0.53,0.49,0.42,0.39,0.31,0.31
15,10,11832,1736,15,9,1416,6968,8,4,2216,120,13,8,2280,1256,0.45,0.4,0.34,0.31,0.25,0.25
13,8,1800,968,7,2,472,936,24,20,15264,11832,22,19,8248,696,0.52,0.36,0.34,0.32,0.26,0.25
15,11,12216,6712,3,0,2024,712,3,0,2280,1288,15,9,840,7480,0.51,0.46,0.46,0.43,0.31,0.31
11,6,5160,3496,8,2,1256,776,13,8,6712,6200,2,0,2216,1384,0.49,0.46,0.42,0.36,0.29,0.29
24,20,9528,1544,4,0,256,1256,26,20,30576,12960,2,0,32,536,0.59,0.41,0.37,0.36,0.29,0.28
3,0,392,1064,18,15,16416,9912,24,20,3752,7480,20,18,12960,8504,0.57,0.5,0.42,0.41,0.32,0.31
8,2,680,72,18,15,13536,5736,13,7,680,328,20,18,2344,11064,0.47,0.46,0.29,0.28,0.25,0.25
3,0,968,1000,22,19,16416,2152,11,6,328,712,7,2,5160,616,0.41,0.4,0.39,0.31,0.25,0.25
18,14,13536,9912,20,17,15840,600,13,7,9912,2792,22,19,12576,2536,0.55,0.42,0.4,0.4,0.3,0.29
13,7,10296,3880,18,14,2280,11832,2,0,616,1096,13,7,5352,1320,0.5,0.44,0.43,0.36,0.29,0.29
13,7,6456,4776,5,0,504,1320,8,2,5352,872,11,6,8504,3880,0.48,0.45,0.44,0.42,0.3,0.3
4,0,2984,616,2,0,1288,600,18,15,11448,7480,24,20,3752,5992,0.47,0.42,0.4,0.38,0.28,0.28
8,4,4968,208,8,2,4584,1160,25,20,13536,4008,13,7,10296,5160,0.48,0.43,0.41,0.33,0.27,0.28
20,18,4776,6712,13,8,9528,1928,4,0,1416,1352,4,0,3368,224,0.43,0.42,0.4,0.35,0.27,0.27
10,4,776,1928,22,19,6456,17568,20,17,2344,10296,18,14,328,10680,0.56,0.49,0.47,0.38,0.32,0.32
22,19,7480,17568,24,20,6456,3624,24,20,7992,9912,24,20,12576,7480,0.57,0.46,0.44,0.38,0.31,0.31
19,17,14688,904,10,4,2664,488,13,7,9528,2984,10,4,1736,120,0.42,0.39,0.33,0.29,0.24,0.24
24,20,7992,4776,18,15,2600,10680,25,20,6200,8248,15,11,12576,7480,0.55,0.47,0.44,0.4,0.31,0.31
15,10,7480,6456,13,8,9144,6968,5,0,1224,1192,6,1,600,1800,0.49,0.48,0.44,0.42,0.31,0.31
5,0,1480,1064,15,11,5736,4584,8,4,2344,2088,15,11,14112,4392,0.47,0.43,0.43,0.41,0.29,0.29
2,0,744,904,15,9,2280,7224,19,17,8760,4264,15,10,3112,4968,0.45,0.42,0.42,0.41,0.28,0.28
25,20,19848,2792,13,8,5544,968,15,11,4264,5352,8,4,3240,840,0.44,0.42,0.36,0.35,0.26,0.26
15,11,5160,2088,15,10,8504,1096,5,0,3496,1352,11,6,7992,4776,0.48,0.45,0.37,0.37,0.28,0.28
4,0,408,1000,8,2,1800,1480,25,20,20616,5160,25,20,25456,7480,0.5,0.46,0.4,0.39,0.29,0.29
13,7,1608,3368,8,4,6200,2856,18,15,2600,9912,10,4,4136,3368,0.49,0.46,0.46,0.39,0.3,0.3
18,14,8504,4968,20,18,4776,16416,13,8,9528,5544,2,0,32,840,0.54,0.49,0.43,0.41,0.31,0.31
10,4,5736,1128,7,2,1672,2088,15,12,552,9912,15,12,6456,9144,0.54,0.49,0.45,0.41,0.31,0.31
15,10,6968,2024,8,2,4968,968,19,17,10680,2728,8,4,2984,3112,0.43,0.41,0.4,0.37,0.27,0.27
2,0,1288,712,8,2,6200,872,13,8,9144,4264,10,4,7736,3112,0.48,0.44,0.43,0.42,0.29,0.29
2,0,936,88,13,7,3368,472,25,20,18336,16992,18,15,9144,7480,0.61,0.47,0.32,0.31,0.29,0.28
19,17,1416,4264,11,6,5992,1480,26,20,584,8248,3,0,1928,616,0.4,0.4,0.38,0.36,0.26,0.26
20,17,6712,11448,15,12,12216,5992,20,18,2792,12216,15,12,6200,4584,0.53,0.52,0.5,0.43,0.33,0.33
11,6,7480,1864,25,20,27376,3624,2,0,2088,376,15,11,12960,7992,0.54,0.47,0.41,0.38,0.3,0.3
22,19,20616,9144,24,20,24496,15264,15,9,9912,3368,5,0,3240,536,0.61,0.54,0.41,0.41,0.33,0.33
22,19,3240,6200,20,17,1160,6968,18,14,11064,12960,18,15,10296,4008,0.55,0.43,0.41,0.4,0.3,0.29
11,6,1544,3496,13,8,4968,1544,13,8,9912,2216,8,2,1096,296,0.4,0.39,0.36,0.31,0.24,0.24
11,6,4392,4776,8,4,5352,1928,15,9,9912,3752,7,2,6200,1096,0.47,0.44,0.43,0.41,0.29,0.29
11,6,5992,3112,8,4,808,1288,15,10,11448,3368,15,12,7480,3240,0.43,0.43,0.42,0.36,0.27,0.28
2,0,2216,376,18,14,4264,9144,25,20,27376,4392,8,2,6200,1800,0.47,0.46,0.45,0.39,0.3,0.3
10,4,5352,776,8,2,3368,936,10,4,2024,1416,4,0,1800,936,0.41,0.4,0.36,0.36,0.26,0.26
13,8,11064,536,26,20,22152,8760,3,0,2024,680,13,8,4776,392,0.5,0.4,0.37,0.33,0.27,0.27
3,0,1384,568,3,0,2536,712,18,15,12216,6968,26,20,3624,7992,0.47,0.43,0.42,0.38,0.28,0.28
4,0,696,904,22,19,17568,1800,7,2,3752,776,13,8,4776,6968,0.46,0.42,0.4,0.4,0.28,0.28
22,19,16992,17568,6,1,4968,808,22,19,17568,11832,7,2,5544,2216,0.6,0.55,0.47,0.43,0.34,0.34
20,17,14112,12576,7,2,2344,776,15,12,7224,6712,15,12,12960,3496,0.57,0.48,0.44,0.38,0.31,0.31
13,7,2472,2088,19,17,7480,3368,3,0,504,256,20,17,4392,10680,0.49,0.39,0.36,0.32,0.26,0.26
22,19,3752,4392,10,4,936,696,11,6,2472,3496,22,19,4136,11448,0.48,0.41,0.37,0.33,0.27,0.26
