mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_1
2,0,208,1256,0.51
8,4,4968,2664,0.54
25,20,15840,15264,0.69
5,0,1672,208,0.65
26,20,19848,12216,0.64
26,20,12216,7480,0.76
22,19,440,13536,0.58
15,11,256,3880,0.76
2,0,1480,776,0.6
11,6,3112,2088,0.63
15,9,5736,4584,0.58
4,0,1064,712,0.73
6,1,328,1288,0.49
26,20,10296,9528,0.58
7,2,1928,72,0.53
15,10,256,3112,0.68
13,7,11064,1224,0.55
15,9,13536,5736,0.73
8,4,3624,2792,0.73
19,17,9912,5160,0.68
11,6,872,4008,0.6
15,10,1736,136,0.72
4,0,2088,648,0.8
24,20,12960,12960,0.63
18,15,7480,12960,0.67
4,0,1928,88,0.68
13,7,4392,5992,0.7
19,17,11448,280,0.78
20,18,9144,12216,0.65
15,12,14112,176,0.63
26,20,4968,1544,0.72
26,20,11064,15840,0.7
15,12,552,8248,0.68
18,14,14112,7736,0.61
15,12,12960,6712,0.63
8,4,2984,696,0.65
3,0,328,904,0.62
25,20,24496,776,0.51
15,9,5992,7224,0.69
8,4,6200,2088,0.6
25,20,16992,8248,0.73
20,17,7992,5544,0.55
20,17,12576,7992,0.62
2,0,424,1128,0.69
15,10,13536,5160,0.68
18,14,14688,3624,0.53
20,17,17568,904,0.66
15,9,12216,4136,0.63
18,15,7480,6456,0.67
8,4,1544,3112,0.61
13,7,5544,2344,0.56
5,0,72,456,0.63
13,7,6456,6200,0.67
11,6,3112,1480,0.54
15,9,4264,6456,0.71
22,19,1864,11064,0.55
15,12,7992,4584,0.66
6,1,3880,1480,0.62
15,9,1992,6968,0.55
8,2,808,968,0.57
18,15,4584,3112,0.49
15,11,3496,2792,0.65
5,0,1224,328,0.54
15,12,9528,1000,0.68
18,15,14112,3752,0.67
5,0,72,120,0.7
18,14,13536,12960,0.7
15,10,4968,6968,0.6
18,14,2600,10680,0.6
2,0,1608,600,0.61
10,4,3368,1416,0.67
5,0,504,488,0.71
15,10,8248,6456,0.57
25,20,2280,1160,0.58
13,8,440,6456,0.55
5,0,1320,88,0.65
8,4,1096,3624,0.56
18,14,2280,2856,0.59
13,7,208,3880,0.73
4,0,488,176,0.56
13,7,2728,712,0.48
15,9,10680,3368,0.59
11,6,5992,4584,0.57
15,11,11064,2472,0.53
18,15,3240,1992,0.73
15,9,10296,6968,0.63
22,19,19080,4392,0.71
26,20,19848,3624,0.57
11,6,2088,2408,0.63
4,0,1544,872,0.51
15,11,14112,2664,0.68
4,0,3368,16,0.67
19,17,8248,7736,0.7
15,11,3752,4776,0.63
2,0,1928,1128,0.6
19,17,6200,2728,0.54
26,20,30576,19080,0.8
24,20,11448,8248,0.56
19,17,13536,12216,0.71
5,0,2280,32,0.73
26,20,5544,7224,0.58
15,9,6968,4392,0.62
15,11,12216,6200,0.66
6,1,3240,1480,0.63
11,6,5160,1032,0.69
8,4,3112,3240,0.57
3,0,1608,120,0.68
11,6,2280,176,0.73
20,18,9912,5992,0.6
3,0,904,616,0.66
13,7,11064,224,0.59
7,2,6200,1480,0.7
20,17,776,11832,0.59
4,0,2216,1256,0.58
3,0,1256,936,0.56
11,6,4968,4008,0.58
22,19,16992,15264,0.74
24,20,20616,5544,0.76
6,1,4776,1608,0.56
7,2,3624,144,0.58
18,15,14112,11064,0.7
15,9,4584,7992,0.69
25,20,18336,19848,0.76
4,0,2408,1160,0.67
8,4,6968,2216,0.72
5,0,2728,872,0.55
15,12,4008,2024,0.55
20,17,19080,8760,0.62
20,17,3112,13536,0.65
8,2,4392,1384,0.63
15,11,11832,2984,0.78
20,18,14112,11064,0.65
13,7,6200,4584,0.77
13,7,6712,4584,0.68
6,1,1224,208,0.67
8,2,6456,376,0.55
22,19,7480,9912,0.61
13,8,6968,3880,0.6
22,19,7992,1416,0.77
8,4,5992,2088,0.67
3,0,904,568,0.73
18,15,14688,5736,0.7
25,20,22152,3624,0.56
7,2,2088,1992,0.56
13,8,8248,256,0.51
8,4,2344,3496,0.71
20,17,14112,1544,0.58
4,0,1288,424,0.52
25,20,27376,10680,0.67
19,17,14688,5160,0.55
18,14,12216,10296,0.66
3,0,104,456,0.57
8,4,3368,1064,0.7
22,19,1384,12960,0.61
5,0,600,1352,0.7
8,2,6712,296,0.56
15,9,3752,296,0.59
3,0,904,1160,0.71
10,4,7224,2792,0.56
19,17,8248,6200,0.6
24,20,25456,11064,0.71
8,2,3112,1928,0.54
20,17,1544,11064,0.72
18,15,11064,6456,0.56
11,6,7736,2792,0.52
15,9,3496,6712,0.67
20,17,16992,2728,0.64
13,7,440,2664,0.64
19,17,14688,1800,0.66
15,10,9912,1256,0.62
18,14,4264,2024,0.57
2,0,1544,504,0.48
18,15,9528,2280,0.53
20,17,4392,7224,0.75
3,0,2024,904,0.68
6,1,600,1256,0.6
8,2,4968,1256,0.74
24,20,19080,6712,0.62
8,2,6200,520,0.61
8,4,5992,1992,0.6
8,4,2664,1480,0.65
11,6,1384,392,0.6
11,6,7992,2728,0.6
15,11,11448,6200,0.76
13,8,2728,1672,0.61
13,8,9528,3368,0.56
19,17,2536,12960,0.61
5,0,1128,1352,0.69
15,10,8760,1544,0.57
25,20,27376,11064,0.68
6,1,4584,712,0.65
5,0,968,1160,0.68
6,1,1352,1192,0.49
8,2,4776,968,0.61
6,1,1224,600,0.55
13,7,680,2792,0.62
11,6,5160,5160,0.55
13,7,8248,3368,0.58
20,17,15840,4584,0.57
4,0,120,648,0.79
8,2,1544,328,0.69
19,17,9144,10296,0.7
13,7,4392,2984,0.75
26,20,13536,3112,0.64
5,0,1928,176,0.7
7,2,5736,2024,0.77
13,8,9912,120,0.64
24,20,4776,1992,0.61
18,14,7224,8504,0.67
18,15,13536,3752,0.62
8,4,6456,632,0.5
10,4,136,488,0.72
11,6,2792,712,0.5
4,0,1192,680,0.71
6,1,176,1544,0.67
5,0,4136,712,0.56
7,2,5544,424,0.72
3,0,1160,56,0.61
25,20,27376,11064,0.7
8,4,3368,840,0.74
19,17,14112,5544,0.72
18,14,8760,9912,0.62
26,20,19848,11832,0.64
26,20,7992,9912,0.66
25,20,23688,4008,0.54
20,17,16416,6712,0.59
26,20,12216,1544,0.65
18,15,11448,7992,0.7
2,0,2088,1192,0.57
26,20,1800,2792,0.64
25,20,1128,16416,0.67
15,11,3752,504,0.62
13,8,2280,4968,0.8
8,4,2664,2984,0.8
2,0,424,208,0.63
13,7,9528,4968,0.64
15,12,552,1800,0.7
7,2,1800,72,0.53
7,2,840,376,0.71
15,12,8248,4968,0.74
15,9,11064,296,0.53
7,2,5544,872,0.73
15,9,1736,6968,0.66
20,18,5160,3624,0.77
25,20,14688,13536,0.65
5,0,2280,488,0.52
